time,open,high,low,close,volume,bid,ask,spread,MACD_15_30_9,MACDh_15_30_9,MACDs_15_30_9,EMA_10,EMA_50,EMA_100
2022-07-20 07:05:00,1.02554,1.02578,1.0247,1.02504,744,1.02497,1.02512,-0.0001500000000000945,0.00011694700799114166,0.00017340934605192276,-5.64623380607811e-05,1.0244178621037974,1.0240930127288186,
2022-07-20 07:10:00,1.02503,1.02565,1.02476,1.02564,614,1.02556,1.02573,-0.00017000000000000348,0.00019373128182853527,0.0002001548959114531,-6.423614082917826e-06,1.024640068994016,1.024153678896316,
2022-07-20 07:15:00,1.02563,1.02648,1.02554,1.02634,814,1.02627,1.02642,-0.0001500000000000945,0.00029735928596297256,0.00024302632003671233,5.433296592626025e-05,1.0249491473587402,1.0242394169788134,
2022-07-20 07:20:00,1.02632,1.02734,1.02587,1.02666,1020,1.02658,1.02675,-0.00017000000000000348,0.00039914060155710196,0.00027584610850467335,0.0001232944930524286,1.0252602114753329,1.0243343418031736,
2022-07-20 07:25:00,1.02664,1.02671,1.026,1.02609,881,1.02601,1.02617,-0.00015999999999993797,0.0004447588510028133,0.00025717148636030776,0.00018758736464250555,1.0254110821161815,1.0244031911442255,
2022-07-20 07:30:00,1.02612,1.02651,1.0256,1.02575,929,1.02568,1.02582,-0.000140000000000029,0.00045794831445222783,0.0002162887598477778,0.00024165955460445004,1.025472703549603,1.0244560071777853,
2022-07-20 07:35:00,1.02576,1.02582,1.02476,1.02477,752,1.02469,1.02485,-0.00015999999999993797,0.00040577720336876233,0.0001312941190114498,0.00027448308435731254,1.0253449392678569,1.0244683206217937,
2022-07-20 07:40:00,1.02473,1.02519,1.0238,1.02391,797,1.02383,1.02399,-0.00015999999999993797,0.0003077840987046887,2.664081147790091e-05,0.0002811432872267878,1.0250840412191555,1.0244464256954489,
2022-07-20 07:45:00,1.02397,1.0245,1.0232,1.02325,890,1.02316,1.02334,-0.00017999999999984695,0.00018517051626831815,-7.67782167667757e-05,0.00026194873303509385,1.024750579179309,1.0243995070407255,
2022-07-20 07:50:00,1.02325,1.0235,1.02214,1.02256,1099,1.02249,1.02262,-0.00013000000000018552,4.1578184546198216e-05,-0.00017629643879111653,0.00021787462333731474,1.0243522920557981,1.0243273695097166,
2022-07-20 07:55:00,1.02256,1.02336,1.02228,1.02258,945,1.0225,1.02266,-0.00015999999999993797,-7.508471750505841e-05,-0.00023436747267389853,0.00015928275516884012,1.0240300571365621,1.024258845215218,
2022-07-20 08:00:00,1.0226,1.02411,1.02192,1.02361,1654,1.02352,1.0237,-0.000180000000000069,-0.00010767503880093621,-0.00021356623517582109,0.00010589119637488487,1.0239536831117326,1.0242334003048172,
2022-07-20 08:05:00,1.02363,1.02373,1.02303,1.0233,777,1.02322,1.02338,-0.00015999999999993797,-0.00015223344664572203,-0.0002064997144164855,5.426626777076349e-05,1.0238348316368722,1.024196796371295,
